Rk,Player,Age,Tm,Pos,GP▼,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
122,Jason Zucker\zuckeja01,27,MIN,LW,81,17,0.26,0.26,0.52,0.21,0.35,2.64,21,21,42,17,64,22,52,0,-9,55.7,45.8,9.8,2.4,1.7,4.1,4,1,3,25.0
123,Nick Bonino\boninni01,30,NSH,C,81,14,0.21,0.22,0.43,0.18,0.22,1.46,17,18,35,14,63,9,47,20,27,39.6,42.5,-2.9,1.6,2.5,4.1,0,,,
124,Frank Vatrano\vatrafr01,24,FLA,LW,81,17,0.30,0.19,0.48,0.21,0.47,2.57,24,15,39,17,56,16,51,1,-10,43.7,43.7,0.1,3.0,1.0,4.0,1,0,1,0.0
125,Derek Ryan\ryande01,32,CGY,C,81,14,0.16,0.31,0.47,0.17,0.30,1.27,13,25,38,14,56,11,43,19,21,37.7,27.2,10.5,1.9,1.8,3.7,0,,,
126,Ryan Strome\stromry01,25,TOT,C,81,15,0.23,0.20,0.43,0.18,0.79,1.36,19,16,35,15,55,10,61,13,-3,43.2,49.5,-6.3,1.9,1.4,3.3,0,,,
127,Jimmy Vesey\veseyji02,25,NYR,LW,81,14,0.21,0.22,0.43,0.17,0.26,1.90,17,18,35,14,58,12,68,16,-6,47.5,54.8,-7.4,1.6,1.3,2.9,3,1,2,33.3
128,Anthony Beauvillier\beauvan01,21,NYI,LW,81,13,0.22,0.12,0.35,0.15,0.10,1.93,18,10,28,13,51,8,42,0,1,50.9,46.2,4.6,1.3,1.5,2.8,1,0,1,0.0
129,Derek Forbort\forbode01,26,LAK,D,81,4,0.02,0.15,0.17,0.05,0.64,0.93,2,12,14,4,48,1,91,32,-13,47.2,63.4,-16.2,-0.4,3.2,2.8,0,,,
130,Charlie Coyle\coylech01,26,TOT,C/RW,81,12,0.15,0.27,0.42,0.15,0.25,1.91,12,22,34,13,65,16,63,13,-1,47.8,42.2,5.6,0.8,1.8,2.7,0,,,
131,Oskar Lindblom\lindbos01,22,PHI,LW,81,13,0.21,0.20,0.41,0.17,0.25,2.00,17,16,33,14,49,6,62,10,-9,41.1,34.3,6.8,1.9,0.8,2.7,0,,,
132,Lawson Crouse\crousla01,21,ARI,LW,81,10,0.14,0.17,0.31,0.12,0.83,1.62,11,14,25,10,38,0,44,10,5,32.9,39.7,-6.7,0.8,1.8,2.6,0,,,
133,Radek Faksa\faksara01,25,DAL,C,81,12,0.19,0.19,0.37,0.15,0.67,1.41,15,15,30,12,47,7,55,12,-3,44.1,49.4,-5.3,0.8,1.8,2.6,0,,,
134,Chris Tierney\tiernch01,24,OTT,C,81,15,0.11,0.48,0.59,0.19,0.32,1.43,9,39,48,16,73,18,94,17,-22,46.2,57.6,-11.4,1.8,0.7,2.5,0,,,
135,Nikita Zaitsev\zaitsni01,27,TOR,D,81,5,0.04,0.14,0.17,0.06,0.22,0.88,3,11,14,5,66,0,93,29,2,64.3,60.6,3.7,-0.3,2.7,2.4,0,,,
136,Lars Eller\ellerla01,29,WSH,C,81,13,0.16,0.28,0.44,0.16,0.46,2.01,13,23,36,13,62,5,78,22,-1,48.3,42.6,5.7,1.1,1.2,2.3,1,0,1,0.0
137,Adrian Kempe\kempead01,22,LAK,LW,81,11,0.15,0.20,0.35,0.14,0.62,1.46,12,16,28,11,40,6,46,2,-10,39.1,36.1,3.1,0.8,1.2,2.0,5,1,4,20.0
138,Loui Eriksson\erikslo01,33,VAN,LW,81,11,0.14,0.22,0.36,0.14,0.27,1.32,11,18,29,11,39,5,50,5,-11,36.7,41.4,-4.6,0.9,1.0,1.9,0,,,
139,Nick Cousins\cousini01,25,ARI,C,81,10,0.09,0.25,0.33,0.12,0.43,1.78,7,20,27,9,46,8,47,1,-8,42.4,42.1,0.3,0.5,1.3,1.8,6,2,4,33.3
140,Jordan Greenway\greenjo02,21,MIN,LW,81,10,0.15,0.15,0.30,0.12,0.36,1.35,12,12,24,10,36,4,44,0,-12,40.2,36.1,4.1,0.5,1.1,1.7,0,,,
141,Lucas Wallmark\wallmlu01,23,CAR,C,81,10,0.12,0.22,0.35,0.13,0.44,1.62,10,18,28,10,44,9,51,8,-8,49.9,38.9,11.0,0.5,1.1,1.7,0,,,
142,Mattias Janmark\janmama02,26,DAL,C,81,8,0.07,0.23,0.31,0.10,0.30,1.30,6,19,25,8,31,1,43,9,-4,44.4,42.3,2.0,-0.3,1.6,1.3,1,0,1,0.0
143,John Carlson\carlsjo01,29,WSH,D,80,22,0.16,0.71,0.88,0.28,0.43,2.31,13,57,70,23,155,46,111,22,21,66.7,70.6,-3.9,5.8,4.7,10.5,1,0,1,0.0
144,Mattias Ekholm\ekholma01,28,NSH,D,80,14,0.10,0.45,0.55,0.18,0.59,1.83,8,36,44,14,90,9,76,20,27,69.1,65.6,3.5,3.0,6.1,9.2,0,,,
145,Cam Atkinson\atkinca01,29,CBJ,RW,80,30,0.51,0.35,0.86,0.38,0.25,3.69,41,28,69,30,101,19,85,5,3,62.4,58.8,3.6,7.0,1.8,8.8,3,2,1,66.7
146,Matthew Tkachuk\tkachma01,21,CGY,LW,80,30,0.43,0.54,0.96,0.37,0.78,2.59,34,43,77,30,108,39,56,1,14,56.6,45.2,11.4,7.1,1.8,8.8,4,0,4,0.0
147,Jake Muzzin\muzzija01,29,TOT,D,80,13,0.11,0.35,0.46,0.16,0.59,1.76,9,28,37,13,82,8,69,16,21,67.7,63.2,4.5,2.6,5.3,7.8,0,,,
148,Sean Couturier\coutuse01,26,PHI,C,80,29,0.41,0.54,0.95,0.36,0.43,2.79,33,43,76,30,119,31,106,20,2,63.7,55.2,8.6,5.9,2.0,7.8,2,1,1,50.0
149,Colton Parayko\parayco01,25,STL,D,80,10,0.13,0.23,0.35,0.13,0.19,2.20,10,18,28,10,84,13,57,6,20,67.1,57.5,9.7,1.6,5.6,7.2,0,,,
150,Tomas Tatar\tatarto01,28,MTL,C,80,22,0.31,0.41,0.73,0.28,0.43,2.44,25,33,58,23,77,14,42,0,21,62.3,41.4,20.8,4.6,2.1,6.8,2,0,2,0.0
151,Nicklas Backstrom\backsni02,31,WSH,C,80,26,0.28,0.65,0.93,0.32,0.38,2.11,22,52,74,26,114,44,76,9,2,47.3,50.8,-3.6,5.1,1.5,6.6,5,3,2,60.0
152,Tyler Myers\myersty01,28,WPG,D,80,11,0.11,0.28,0.39,0.14,0.79,1.95,9,22,31,11,84,14,88,27,11,58.3,59.8,-1.4,2.0,3.8,5.8,0,,,
153,Noah Hanifin\hanifno01,22,CGY,D,80,10,0.06,0.35,0.41,0.13,0.15,1.45,5,28,33,10,85,6,79,18,18,72.6,63.3,9.2,1.7,3.9,5.7,1,0,1,0.0
154,Tyler Johnson\johnsty01,28,TBL,C,80,20,0.36,0.23,0.59,0.26,0.35,2.04,29,18,47,21,90,19,60,4,15,58.1,54.0,4.1,4.0,1.6,5.7,1,0,1,0.0
155,Ryan Johansen\johanry01,26,NSH,C,80,21,0.18,0.63,0.80,0.27,0.53,1.70,14,50,64,21,102,22,78,4,7,64.8,62.1,2.7,3.6,2.0,5.6,4,3,1,75.0
156,Erik Johnson\johnser01,30,COL,D,80,9,0.09,0.23,0.31,0.11,0.48,1.80,7,18,25,9,79,4,98,29,8,67.0,67.9,-0.9,1.1,4.0,5.1,0,,,
157,Yanni Gourde\gourdya01,27,TBL,C,80,19,0.28,0.33,0.60,0.24,0.83,1.63,22,26,48,19,77,19,62,13,9,49.8,44.6,5.2,3.5,1.4,4.9,0,,,
158,Markus Nutivaara\nutivma01,24,CBJ,D,80,7,0.06,0.20,0.26,0.09,0.08,1.24,5,16,21,7,62,1,59,1,3,59.6,58.6,1.0,0.9,3.2,4.2,0,,,
159,Brandon Saad\saadbr01,26,CHI,LW,80,19,0.29,0.30,0.59,0.23,0.15,2.44,23,24,47,19,71,9,88,17,-9,56.6,59.5,-2.9,3.0,0.9,3.9,0,,,
160,Nick Jensen\jenseni02,28,TOT,D,80,6,0.03,0.23,0.25,0.07,0.26,1.18,2,18,20,6,61,0,76,19,4,58.5,55.3,3.2,0.3,3.6,3.8,0,,,
161,Matt Niskanen\niskama01,32,WSH,D,80,9,0.10,0.21,0.31,0.11,0.51,1.79,8,17,25,9,64,2,96,32,-3,52.3,67.4,-15.1,1.1,2.5,3.6,0,,,
162,Travis Zajac\zajactr01,33,NJD,C,80,18,0.24,0.34,0.58,0.22,0.25,1.50,19,27,46,18,74,22,99,22,-25,47.6,48.0,-0.4,2.4,1.2,3.5,1,0,1,0.0
163,Joonas Donskoi\donskjo01,26,SJS,RW,80,14,0.18,0.29,0.46,0.17,0.13,1.44,14,23,37,14,59,5,45,1,10,52.1,39.6,12.4,2.1,1.4,3.4,1,0,1,0.0
164,Marcus Sorensen\sorenma01,26,SJS,RW,80,13,0.21,0.16,0.38,0.16,0.29,1.25,17,13,30,13,51,2,49,9,10,43.0,36.2,6.8,1.8,1.3,3.1,0,,,
165,Brandon Tanev\tanevbr01,27,WPG,LW,80,12,0.18,0.19,0.36,0.15,0.51,1.59,14,15,29,12,37,0,45,16,9,34.5,35.0,-0.5,1.2,1.5,2.7,0,,,
166,Ivan Barbashev\barbaiv01,23,STL,C,80,11,0.18,0.15,0.33,0.14,0.21,0.75,14,12,26,11,30,0,51,17,-4,29.6,35.2,-5.6,1.4,1.0,2.5,0,,,
167,Tanner Pearson\pearsta01,26,TOT,LW,80,12,0.23,0.11,0.34,0.15,0.31,1.84,18,9,27,12,39,8,48,2,-15,42.1,45.0,-2.9,1.4,0.7,2.2,0,,,
168,Greg Pateryn\patergr01,28,MIN,D,80,2,0.01,0.08,0.09,0.03,0.51,1.25,1,6,7,2,42,1,62,11,-11,44.6,41.7,2.9,-0.9,3.0,2.1,0,,,
169,Ryan Reaves\reavery01,32,VEG,RW,80,8,0.11,0.14,0.25,0.10,0.93,1.19,9,11,20,8,34,8,26,0,1,40.1,31.3,8.8,0.6,1.0,1.6,0,,,
170,Cedric Paquette\paquece01,25,TBL,C,80,8,0.16,0.05,0.21,0.10,1.00,1.09,13,4,17,8,35,0,43,14,7,29.3,31.3,-2.0,0.3,1.1,1.4,0,,,
171,Magnus Paajarvi\paajama01,27,OTT,LW,80,8,0.14,0.10,0.24,0.10,0.08,1.49,11,8,19,8,30,0,64,20,-14,30.1,39.4,-9.2,0.0,0.7,0.7,0,,,
172,Brad Marchand\marchbr03,30,BOS,LW,79,37,0.46,0.81,1.27,0.46,1.22,2.92,36,64,100,37,134,52,79,12,15,56.0,52.7,3.3,9.2,2.5,11.7,5,1,4,20.0
173,Brayden Point\pointbr01,22,TBL,C,79,36,0.52,0.65,1.16,0.45,0.35,2.42,41,51,92,36,140,60,53,0,27,66.6,60.1,6.5,9.1,2.3,11.4,6,0,6,0.0
174,Sidney Crosby\crosbsi01,31,PIT,C,79,37,0.44,0.82,1.27,0.46,0.46,2.78,35,65,100,37,139,43,83,5,18,71.1,52.6,18.5,8.9,2.4,11.4,5,1,4,20.0
175,Artemi Panarin\panarar01,27,CBJ,LW,79,32,0.35,0.75,1.10,0.40,0.29,2.42,28,59,87,31,114,22,80,1,14,72.4,60.2,12.2,7.4,2.3,9.7,3,2,1,66.7
176,Erik Gustafsson\gustaer02,26,CHI,D,79,21,0.22,0.54,0.76,0.26,0.43,2.03,17,43,60,21,115,32,90,1,-6,74.3,81.6,-7.4,5.5,2.2,7.7,0,,,
177,T.J. Brodie\broditj01,28,CGY,D,79,11,0.11,0.32,0.43,0.15,0.30,1.29,9,25,34,12,94,6,79,20,29,69.0,55.1,13.9,2.2,4.8,7.0,0,,,
178,Shea Theodore\theodsh01,23,VEG,D,79,14,0.15,0.32,0.47,0.17,0.25,2.56,12,25,37,13,73,18,60,1,-4,71.0,56.4,14.6,3.1,3.1,6.2,3,1,2,33.3
179,Chris Kreider\kreidch01,27,NYR,C,79,22,0.35,0.30,0.66,0.27,0.72,2.54,28,24,52,22,97,29,66,1,4,54.9,48.6,6.4,4.2,1.8,6.0,0,,,
180,Scott Mayfield\mayfisc01,26,NYI,D,79,6,0.05,0.19,0.24,0.08,0.86,1.32,4,15,19,6,57,0,57,18,18,55.7,53.3,2.4,0.5,4.8,5.3,0,,,
181,Mikael Granlund\granlmi01,26,TOT,C,79,19,0.20,0.48,0.68,0.24,0.30,2.39,16,38,54,19,71,23,64,8,-8,53.9,42.9,10.9,3.0,1.7,4.7,0,,,
182,Niklas Kronwall\kronwni01,38,DET,D,79,8,0.04,0.30,0.34,0.10,0.51,0.90,3,24,27,8,75,14,81,15,-5,51.3,62.4,-11.1,1.1,3.1,4.2,0,,,
183,Rasmus Andersson\anderra01,22,CGY,D,79,6,0.03,0.22,0.24,0.07,0.29,1.46,2,17,19,6,64,8,41,2,17,48.3,42.2,6.1,0.5,3.3,3.8,0,,,
184,Mark Jankowski\jankoma01,24,CGY,C,79,12,0.18,0.23,0.41,0.16,0.15,1.25,14,18,32,13,41,0,50,15,6,33.5,31.1,2.4,1.8,1.1,2.9,1,0,1,0.0
185,Jesperi Kotkaniemi\kotkaje01,18,MTL,C,79,12,0.14,0.29,0.43,0.15,0.33,1.70,11,23,34,12,46,9,36,0,1,43.0,32.8,10.2,1.5,1.1,2.6,1,0,1,0.0
186,Marc Staal\staalma01,32,NYR,D,79,4,0.04,0.13,0.16,0.05,0.41,1.06,3,10,13,4,56,0,96,31,-9,52.9,61.7,-8.8,-0.3,2.5,2.3,0,,,
187,Calle Jarnkrok\jarnkca01,27,NSH,C,79,10,0.13,0.20,0.33,0.13,0.15,1.34,10,16,26,10,52,3,53,17,13,36.9,38.9,-2.0,0.3,1.9,2.1,1,0,1,0.0
188,Zack Kassian\kassiza01,28,EDM,RW,79,11,0.19,0.14,0.33,0.14,1.29,1.41,15,11,26,11,54,0,73,13,-6,45.9,48.6,-2.7,0.9,1.1,2.0,0,,,
189,Wayne Simmonds\simmowa01,30,TOT,RW,79,13,0.22,0.16,0.38,0.16,1.25,1.99,17,13,30,13,55,16,56,0,-16,39.3,38.0,1.3,1.2,0.7,1.9,0,,,
190,Melker Karlsson\karlsme01,28,SJS,C,79,7,0.15,0.05,0.20,0.09,0.33,1.00,12,4,16,8,28,0,43,14,-1,24.4,28.8,-4.4,0.2,0.8,1.0,0,,,
191,Milan Lucic\lucicmi01,30,EDM,LW,79,7,0.08,0.18,0.25,0.09,1.15,0.94,6,14,20,7,41,12,38,0,-9,33.0,35.6,-2.6,-0.3,0.8,0.5,0,,,
192,Connor McDavid\mcdavco01,22,EDM,C,78,43,0.53,0.96,1.49,0.55,0.26,3.08,41,75,116,43,142,42,107,10,3,73.7,71.7,2.1,10.8,2.1,13.0,4,2,2,50.0
193,Mark Giordano\giordma01,35,CGY,D,78,24,0.22,0.73,0.95,0.31,0.88,2.83,17,57,74,25,144,41,90,26,39,71.3,54.4,16.9,6.7,5.9,12.6,0,,,
194,Sean Monahan\monahse01,24,CGY,C,78,31,0.44,0.62,1.05,0.40,0.15,2.71,34,48,82,32,120,42,72,1,7,63.4,52.8,10.6,7.3,1.6,8.9,4,3,1,75.0
195,Tyson Barrie\barrity01,27,COL,D,78,20,0.18,0.58,0.76,0.26,0.46,2.79,14,45,59,20,110,41,71,1,-3,67.7,58.5,9.2,5.3,3.0,8.4,0,,,
196,Timo Meier\meierti01,22,SJS,RW,78,26,0.38,0.46,0.85,0.33,0.71,3.21,30,36,66,26,91,17,67,3,9,62.4,51.7,10.7,5.8,1.6,7.4,0,,,
197,Vince Dunn\dunnvi02,22,STL,D,78,13,0.15,0.29,0.45,0.16,0.58,1.92,12,23,35,13,77,20,44,1,14,64.8,45.3,19.5,3.0,4.1,7.2,0,,,
198,Jamie Benn\bennja01,29,DAL,LW,78,22,0.35,0.33,0.68,0.28,0.72,2.42,27,26,53,22,90,28,52,4,14,57.7,50.7,7.1,4.0,2.6,6.6,3,1,2,33.3
199,Adam Pelech\pelecad01,24,NYI,D,78,7,0.06,0.21,0.27,0.09,0.31,1.41,5,16,21,7,58,0,54,18,22,55.3,51.5,3.8,0.9,5.1,5.9,0,,,
200,Ryan Dzingel\dzingry01,26,TOT,C,78,22,0.33,0.38,0.72,0.28,0.37,2.04,26,30,56,22,84,15,78,0,-9,53.7,59.5,-5.9,4.5,1.1,5.7,0,,,
201,Jakub Voracek\voracja01,29,PHI,RW,78,23,0.26,0.59,0.85,0.29,0.32,2.69,20,46,66,23,95,29,83,1,-16,54.5,51.2,3.3,4.5,0.9,5.4,4,1,3,25.0
202,Cody Eakin\eakinco01,27,VEG,C,78,17,0.28,0.24,0.53,0.22,0.21,1.54,22,19,41,17,61,6,50,13,19,42.5,46.2,-3.8,3.1,2.1,5.2,0,,,
203,Dylan Strome\stromdy01,21,TOT,C,78,21,0.26,0.47,0.73,0.27,0.26,1.86,20,37,57,21,98,34,71,0,-8,49.5,57.2,-7.7,4.2,0.9,5.1,0,,,
204,Troy Stecher\stechtr01,24,VAN,D,78,7,0.03,0.27,0.29,0.09,0.41,1.35,2,21,23,7,61,3,58,9,9,54.0,59.4,-5.3,0.7,4.4,5.1,0,,,
205,Brady Skjei\skjeibr01,24,NYR,D,78,9,0.10,0.22,0.32,0.11,0.56,1.62,8,17,25,9,69,1,90,18,-4,61.3,70.6,-9.3,1.3,3.2,4.5,0,,,
206,Kasperi Kapanen\kapanka01,22,TOR,RW,78,17,0.26,0.31,0.56,0.22,0.35,2.23,20,24,44,17,73,6,68,13,12,56.4,53.2,3.2,2.8,1.5,4.4,1,0,1,0.0
207,Rasmus Ristolainen\ristora01,24,BUF,D,78,13,0.06,0.49,0.55,0.17,0.49,2.33,5,38,43,13,89,29,122,21,-41,61.2,69.3,-8.1,2.5,1.8,4.3,0,,,
208,Shayne Gostisbehere\gostish01,25,PHI,D,78,12,0.12,0.36,0.47,0.16,0.28,2.31,9,28,37,13,83,27,78,2,-20,53.7,49.8,3.9,2.7,1.5,4.2,0,,,
209,Will Butcher\butchwi01,24,NJD,D,78,9,0.05,0.33,0.38,0.12,0.23,1.38,4,26,30,9,82,25,75,1,-17,58.1,49.1,9.0,1.7,2.4,4.1,0,,,
210,Ben Chiarot\chiarbe01,27,WPG,D,78,7,0.06,0.19,0.26,0.09,0.79,1.42,5,15,20,7,50,0,59,16,6,43.8,50.5,-6.6,0.7,3.1,3.8,0,,,
211,Jared McCann\mccanja01,22,TOT,C,78,15,0.24,0.21,0.45,0.19,0.40,1.92,19,16,35,15,52,6,55,8,-1,36.3,40.7,-4.4,2.2,1.2,3.5,0,,,
212,Jay Bouwmeester\bouwmja01,35,STL,D,78,5,0.04,0.18,0.22,0.07,0.51,1.05,3,14,17,5,49,1,72,21,-3,59.1,59.7,-0.6,0.0,3.4,3.5,0,,,
213,Alexander Kerfoot\kerfoal01,24,COL,C,78,16,0.19,0.35,0.54,0.20,0.49,1.49,15,27,42,16,61,21,49,1,-9,43.3,38.7,4.6,2.5,0.9,3.4,0,,,
214,Jordan Eberle\eberljo01,28,NYI,RW,78,15,0.24,0.23,0.47,0.20,0.22,2.05,19,18,37,15,65,23,48,1,-6,52.8,51.5,1.3,2.1,1.3,3.4,6,1,5,16.7
215,Blake Coleman\colembl01,27,NJD,C,78,16,0.28,0.18,0.46,0.21,0.91,2.73,22,14,36,16,58,8,92,23,-19,45.5,46.0,-0.5,2.2,1.1,3.3,3,1,2,33.3
216,Brent Seabrook\seabrbr01,33,CHI,D,78,9,0.06,0.29,0.36,0.11,0.53,2.12,5,23,28,9,66,12,89,29,-6,51.3,60.9,-9.6,1.5,1.7,3.2,0,,,
217,Trevor van Riemsdyk\vanritr01,27,CAR,D,78,5,0.04,0.14,0.18,0.06,0.13,1.31,3,11,14,5,39,0,56,13,-4,45.6,37.6,8.0,0.3,2.4,2.7,0,,,
218,Artem Anisimov\anisiar01,30,CHI,C,78,14,0.19,0.28,0.47,0.18,0.18,1.82,15,22,37,14,55,8,63,14,-2,47.7,59.9,-12.1,1.6,1.0,2.6,0,,,
219,Bobby Ryan\ryanbo01,31,OTT,LW,78,15,0.19,0.35,0.54,0.20,0.45,2.05,15,27,42,16,66,24,71,0,-29,42.0,52.0,-9.9,2.2,0.3,2.5,1,0,1,0.0
220,Conor Sheary\shearco01,26,BUF,LW,78,13,0.18,0.26,0.44,0.17,0.15,1.88,14,20,34,13,53,15,57,1,-18,44.0,47.2,-3.3,1.6,0.8,2.4,3,1,2,33.3
221,Kyle Okposo\okposky01,30,BUF,RW,78,12,0.18,0.19,0.37,0.15,0.53,1.88,14,15,29,12,50,16,43,0,-9,32.2,39.0,-6.8,1.3,1.0,2.3,1,0,1,0.0
222,Vladislav Namestnikov\namesvl01,26,NYR,C,78,11,0.14,0.26,0.40,0.15,0.56,1.53,11,20,31,11,57,15,64,15,-7,40.2,44.5,-4.3,0.8,1.2,2.0,0,,,
223,Adam Lowry\lowryad01,25,WPG,LW,78,9,0.15,0.14,0.29,0.12,0.42,1.35,12,11,23,10,38,0,49,17,6,34.6,34.7,-0.1,0.3,1.4,1.8,0,,,
224,Justin Braun\braunju01,31,SJS,D,78,5,0.03,0.18,0.21,0.06,0.45,1.35,2,14,16,5,49,1,89,27,-14,56.5,51.6,4.9,-0.1,1.8,1.6,0,,,
225,Luke Glendening\glendlu01,29,DET,C,78,9,0.13,0.17,0.29,0.11,0.19,1.31,10,13,23,9,47,0,72,27,2,35.3,52.8,-17.5,-0.1,1.4,1.3,0,,,
226,Andrew Cogliano\coglian01,31,TOT,LW/C,78,6,0.08,0.14,0.22,0.08,0.28,1.36,6,11,17,6,25,1,33,10,1,32.6,39.1,-6.4,-0.4,1.4,1.0,0,,,
227,Nate Thompson\thompna01,34,TOT,C,78,5,0.06,0.10,0.17,0.06,0.22,0.91,5,8,13,5,28,0,41,12,-1,26.9,34.0,-7.1,-1.0,1.2,0.2,0,,,
228,Riley Nash\nashri02,29,CBJ,C,78,4,0.04,0.12,0.15,0.05,0.24,1.01,3,9,12,4,23,0,37,7,-8,35.5,29.3,6.1,-0.8,0.6,-0.2,0,,,
229,Mark Stone\stonema01,26,TOT,RW,77,29,0.43,0.52,0.95,0.37,0.35,2.58,33,40,73,29,108,25,76,10,17,66.9,51.4,15.5,6.3,2.4,8.7,0,,,
230,Tomas Hertl\hertlto01,25,SJS,C,77,29,0.45,0.51,0.96,0.38,0.23,2.29,35,39,74,30,113,34,90,15,5,58.7,51.4,7.3,6.7,1.6,8.3,2,0,2,0.0
231,Jack Eichel\eicheja01,22,BUF,C,77,30,0.36,0.70,1.06,0.39,0.34,3.94,28,54,82,30,112,36,92,5,-11,65.2,58.9,6.3,6.6,1.6,8.2,8,4,4,50.0
232,Mikael Backlund\backlmi01,29,CGY,C,77,18,0.27,0.34,0.61,0.24,0.68,2.66,21,26,47,19,79,6,55,16,34,55.9,47.6,8.3,2.9,2.5,5.4,0,,,
233,Oliver Bjorkstrand\bjorkol01,23,CBJ,RW,77,16,0.30,0.17,0.47,0.21,0.10,2.09,23,13,36,16,51,9,34,0,8,39.0,34.7,4.3,3.4,1.4,4.8,1,0,1,0.0
234,Dylan DeMelo\demeldy01,25,OTT,D,77,7,0.05,0.23,0.29,0.09,0.42,1.42,4,18,22,7,84,4,95,13,-1,59.4,63.4,-4.1,0.8,3.1,3.9,0,,,
235,Radko Gudas\gudasra01,28,PHI,D,77,6,0.05,0.21,0.26,0.08,0.82,1.77,4,16,20,7,55,1,73,25,6,43.3,44.9,-1.7,0.7,3.2,3.9,0,,,
236,Roman Polak\polakro01,32,DAL,D,77,3,0.01,0.10,0.12,0.04,0.90,1.00,1,8,9,3,45,0,62,23,6,47.9,56.3,-8.4,-0.8,4.6,3.8,0,,,
237,Boone Jenner\jennebo01,25,CBJ,C,77,15,0.21,0.29,0.49,0.19,0.55,2.21,16,22,38,15,65,9,64,15,6,50.1,49.2,0.9,1.9,1.7,3.6,0,,,
238,Danton Heinen\heineda01,23,BOS,C/LW,77,12,0.14,0.30,0.44,0.16,0.21,1.48,11,23,34,12,52,14,27,2,13,38.4,32.7,5.7,1.5,1.8,3.3,3,0,3,0.0
239,Jack Roslovic\rosloja01,22,WPG,C,77,9,0.12,0.19,0.31,0.12,0.05,0.96,9,15,24,9,35,8,29,0,-2,27.9,28.7,-0.8,1.2,0.7,1.9,1,0,1,0.0
240,Markus Granlund\granlma01,25,VAN,C,77,9,0.16,0.13,0.29,0.12,0.26,1.60,12,10,22,9,39,10,61,28,-4,32.3,35.7,-3.4,0.3,1.3,1.6,8,3,5,37.5
241,Casey Mittelstadt\mitteca01,20,BUF,C,77,10,0.16,0.17,0.32,0.13,0.13,1.53,12,13,25,10,47,15,51,0,-19,35.3,43.8,-8.5,0.8,0.6,1.4,5,2,3,40.0
242,Blake Comeau\comeabl01,32,DAL,RW,77,7,0.09,0.14,0.23,0.09,0.55,1.32,7,11,18,7,31,0,57,19,-7,42.6,45.6,-3.0,-0.9,1.5,0.6,0,,,
243,Warren Foegele\foegewa01,22,CAR,LW,77,7,0.13,0.06,0.19,0.09,0.26,1.38,10,5,15,7,25,0,57,15,-17,38.0,33.3,4.7,-0.1,0.5,0.4,0,,,
244,Vladimir Tarasenko\tarasvl01,27,STL,RW,76,27,0.43,0.46,0.89,0.36,0.29,3.62,33,35,68,28,93,30,55,0,8,64.1,46.1,18.0,6.2,2.1,8.3,4,0,4,0.0
245,Dylan Larkin\larkidy01,22,DET,C,76,28,0.42,0.54,0.96,0.37,0.99,3.78,32,41,73,29,97,24,90,12,-6,70.0,64.8,5.2,5.9,1.6,7.5,4,1,3,25.0
246,Evgeny Kuznetsov\kuzneev01,26,WSH,C,76,25,0.28,0.67,0.95,0.33,0.66,2.54,21,51,72,25,110,41,66,3,7,49.1,58.4,-9.3,5.2,1.6,6.8,5,3,2,60.0
247,Andreas Athanasiou\athanan01,24,DET,C,76,23,0.39,0.32,0.71,0.30,0.50,2.84,30,24,54,23,72,21,62,1,-9,46.6,55.0,-8.4,4.8,1.1,5.9,2,2,0,100.0
248,Brian Dumoulin\dumoubr01,27,PIT,D,76,7,0.04,0.26,0.30,0.09,0.26,1.30,3,20,23,7,89,1,78,21,31,74.6,61.8,12.8,0.7,5.0,5.7,0,,,
249,Hampus Lindholm\lindhha01,25,ANA,D,76,9,0.08,0.29,0.37,0.12,0.58,1.64,6,22,28,9,79,10,101,27,-5,61.6,69.6,-8.0,1.2,4.3,5.5,0,,,
250,Alex Goligoski\goligal01,33,ARI,D,76,8,0.04,0.32,0.36,0.11,0.21,1.34,3,24,27,8,70,14,72,10,-7,57.9,57.1,0.7,1.2,3.9,5.1,0,,,
251,Craig Smith\smithcr01,29,NSH,C,76,16,0.28,0.22,0.50,0.21,0.26,2.70,21,17,38,16,61,18,32,0,11,40.2,40.7,-0.5,2.8,1.7,4.5,1,0,1,0.0
252,Josh Leivo\leivojo01,25,TOT,LW,76,10,0.18,0.13,0.32,0.14,0.42,1.99,14,10,24,10,55,17,33,0,5,37.5,35.7,1.9,0.9,1.4,2.3,0,,,
253,Andre Burakovsky\burakan01,23,WSH,LW,76,10,0.16,0.17,0.33,0.13,0.18,1.32,12,13,25,10,36,1,32,0,2,32.1,34.2,-2.0,1.3,0.8,2.2,0,,,
254,Devin Shore\shorede01,24,TOT,C,76,11,0.13,0.25,0.38,0.14,0.17,1.08,10,19,29,11,43,10,52,7,-12,35.0,42.5,-7.4,0.9,1.1,2.0,0,,,
255,Garnet Hathaway\hathaga01,27,CGY,RW,76,8,0.14,0.11,0.25,0.11,0.74,1.01,11,8,19,8,31,0,27,10,14,27.2,23.6,3.6,0.7,1.2,2.0,0,,,
