Rk,Player,Age,Tm,Pos,GP▼,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
30,Blake Wheeler\wheelbl01,32,WPG,RW,82,30,0.24,0.87,1.11,0.37,0.73,2.82,20,71,91,30,124,45,94,15,0,56.0,62.6,-6.7,6.4,1.8,8.2,1,0,1,0.0
31,Max Domi\domima01,23,MTL,LW,82,27,0.34,0.54,0.88,0.33,0.98,2.48,28,44,72,27,95,16,58,0,20,64.4,58.5,6.0,6.0,2.2,8.2,1,0,1,0.0
32,Jeff Skinner\skinnje01,26,BUF,C,82,28,0.49,0.28,0.77,0.34,0.44,3.27,40,23,63,28,107,30,78,1,0,64.4,56.4,8.0,6.1,2.0,8.0,1,0,1,0.0
33,Claude Giroux\giroucl01,31,PHI,C/RW,82,29,0.27,0.77,1.04,0.35,0.29,2.79,22,63,85,29,122,33,93,13,9,60.7,60.5,0.1,5.7,2.2,7.9,4,1,3,25.0
34,Phil Kessel\kesseph01,31,PIT,RW,82,30,0.33,0.67,1.00,0.36,0.34,2.62,27,55,82,30,100,44,75,0,-19,57.2,55.5,1.7,6.8,0.8,7.7,3,1,2,33.3
35,Dougie Hamilton\hamildo01,25,CAR,D,82,16,0.22,0.26,0.48,0.19,0.66,3.16,18,21,39,16,82,13,70,1,0,78.8,55.8,23.1,3.8,3.7,7.6,2,2,0,100.0
36,Jacob Trouba\troubja01,24,WPG,D,82,16,0.10,0.51,0.61,0.19,0.71,1.98,8,42,50,16,112,26,102,24,8,62.8,69.1,-6.3,3.5,4.0,7.5,0,,,
37,Keith Yandle\yandlke01,32,FLA,D,82,19,0.11,0.65,0.76,0.23,0.61,2.43,9,53,62,19,128,52,98,5,-17,65.6,70.2,-4.6,4.8,2.7,7.5,0,,,
38,Justin Faulk\faulkju01,26,CAR,D,82,13,0.13,0.29,0.43,0.15,0.57,2.65,11,24,35,13,104,31,78,14,9,65.7,57.8,7.9,2.5,4.9,7.4,0,,,
39,Mika Zibanejad\zibanmi01,25,NYR,C,82,28,0.37,0.54,0.90,0.34,0.57,2.88,30,44,74,28,98,32,103,24,-12,55.1,56.3,-1.2,5.8,1.6,7.3,11,5,6,45.5
40,Mike Hoffman\hoffmmi02,29,FLA,C/LW,82,28,0.44,0.41,0.85,0.35,0.37,3.09,36,34,70,29,104,55,74,1,-24,50.3,52.7,-2.4,6.5,0.8,7.3,1,0,1,0.0
41,Pierre-Luc Dubois\duboipi01,20,CBJ,LW,82,24,0.33,0.41,0.74,0.30,0.78,2.12,27,34,61,24,105,19,72,2,16,64.9,57.2,7.8,5.0,2.2,7.2,1,1,0,100.0
42,Evgenii Dadonov\dadonev01,29,FLA,RW,82,26,0.34,0.51,0.85,0.32,0.10,2.38,28,42,70,27,124,49,83,1,-6,55.5,55.6,-0.1,5.6,1.6,7.1,0,,,
43,Kyle Connor\connoky01,22,WPG,LW,82,27,0.41,0.39,0.80,0.33,0.22,2.77,34,32,66,27,119,46,83,4,-7,55.3,58.2,-2.9,5.6,1.4,7.0,3,2,1,66.7
44,Aaron Ekblad\ekblaaa01,22,FLA,D,82,13,0.16,0.29,0.45,0.16,0.57,2.20,13,24,37,14,113,17,119,24,1,72.2,74.0,-1.8,2.6,4.2,6.8,0,,,
