Rk,Player,Tm,Pos,Shift,GP▼,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
167,Tomas Tatar\tatarto01,MTL,C,0:44,80,,14:07,7.9,3.4,2.2,,2:15,3.2,4.6,0.3,,0:01,85.8,0.0,0.0
168,Travis Zajac\zajactr01,NJD,C,0:42,80,,13:54,0.6,2.5,3.9,,2:38,3.0,6.2,1.4,,2:43,6.1,1.6,5.8
169,Tyler Johnson\johnsty01,TBL,C,0:45,80,,13:52,-0.9,3.8,3.0,,1:35,1.2,8.9,0.0,,0:28,-3.4,1.6,6.5
170,Tyler Myers\myersty01,WPG,D,0:45,80,,17:02,-0.2,2.9,2.6,,1:09,-1.6,9.3,1.3,,2:09,0.5,1.7,9.3
171,Yanni Gourde\gourdya01,TBL,C,0:44,80,,12:40,1.1,3.3,2.9,,1:24,-2.4,9.9,0.0,,1:44,-0.5,0.9,5.6
172,Artemi Panarin\panarar01,CBJ,LW,0:49,79,,17:00,6.7,4.1,3.4,,2:48,1.8,6.0,0.8,,0:02,20.6,0.0,18.0
173,Brad Marchand\marchbr03,BOS,LW,0:38,79,,14:53,3.6,3.8,3.0,,3:09,5.5,12.5,1.9,,1:34,4.5,3.4,5.8
174,Brayden Point\pointbr01,TBL,C,0:46,79,,15:27,0.7,3.9,2.6,,3:21,5.0,13.5,0.2,,0:06,-11.4,0.0,0.0
175,Calle Jarnkrok\jarnkca01,NSH,C,0:37,79,,12:45,-1.3,2.9,2.0,,0:55,-1.9,2.5,2.5,,1:45,-7.5,0.4,7.4
176,Chris Kreider\kreidch01,NYR,C,0:36,79,,14:44,5.5,3.5,3.2,,2:36,0.9,8.4,0.6,,0:03,-14.4,0.0,12.2
177,Erik Gustafsson\gustaer02,CHI,D,0:38,79,,19:26,2.1,3.2,3.3,,3:02,1.6,8.0,1.3,,0:06,12.2,0.0,5.8
178,Jesperi Kotkaniemi\kotkaje01,MTL,C,0:45,79,,11:48,3.8,2.4,2.1,,1:55,-2.7,3.5,1.2,,0:00,-14.6,0.0,0.0
179,Marc Staal\staalma01,NYR,D,0:41,79,,16:29,-4.9,2.4,3.0,,0:01,13.0,0.0,0.0,,2:53,-5.1,0.8,8.1
180,Mark Jankowski\jankoma01,CGY,C,0:35,79,,10:31,-3.4,2.1,2.5,,0:14,-12.4,0.0,0.0,,1:55,7.0,4.7,5.9
181,Melker Karlsson\karlsme01,SJS,C,0:31,79,,9:58,-2.5,2.1,2.2,,0:02,-52.5,0.0,0.0,,1:28,-7.7,0.5,7.1
182,Mikael Granlund\granlmi01,TOT,C,0:39,79,,15:09,1.6,2.4,2.6,,2:33,-0.1,6.8,0.3,,0:37,5.7,2.5,8.9
183,Milan Lucic\lucicmi01,EDM,LW,0:49,79,,11:53,3.6,1.9,2.4,,1:20,1.4,6.8,0.6,,0:00,,,
184,Niklas Kronwall\kronwni01,DET,D,0:50,79,,17:13,1.9,2.6,2.9,,1:39,-2.1,6.5,0.5,,1:04,4.9,2.1,10.6
185,Rasmus Andersson\anderra01,CGY,D,0:40,79,,14:40,-3.0,2.8,2.0,,1:00,4.2,6.0,0.7,,0:22,-1.4,2.2,4.3
186,Scott Mayfield\mayfisc01,NYI,D,0:42,79,,16:22,2.0,2.5,1.8,,0:01,13.3,0.0,0.0,,2:19,-3.9,1.3,5.9
187,Shea Theodore\theodsh01,VEG,D,0:54,79,,17:30,4.0,2.4,2.6,,2:25,0.9,5.5,0.0,,0:10,0.2,4.5,4.5
188,Sidney Crosby\crosbsi01,PIT,C,0:47,79,,17:13,6.6,4.2,2.9,,3:11,1.0,9.8,3.0,,0:34,-0.7,2.7,6.8
189,T.J. Brodie\broditj01,CGY,D,0:42,79,,18:33,3.3,3.3,2.3,,0:59,5.3,4.6,1.5,,1:55,4.0,2.8,7.9
190,Wayne Simmonds\simmowa01,TOT,RW,0:40,79,,12:54,-2.4,2.0,0.7,,2:45,-2.0,2.0,0.0,,0:00,,0.0,0.0
191,Zack Kassian\kassiza01,EDM,RW,0:38,79,,13:28,0.4,2.9,3.4,,0:05,6.1,0.0,0.0,,1:14,-2.1,1.2,7.9
192,Adam Lowry\lowryad01,WPG,LW,0:44,78,,12:16,1.6,2.1,1.9,,0:06,-29.5,0.0,7.7,,2:15,-3.5,1.4,5.8
193,Adam Pelech\pelecad01,NYI,D,0:37,78,,16:55,1.8,2.6,1.6,,0:05,-17.1,0.0,0.0,,1:36,-4.7,0.5,8.7
194,Alexander Kerfoot\kerfoal01,COL,C,0:47,78,,12:45,2.7,2.4,2.8,,2:03,2.1,7.6,0.7,,0:03,3.7,0.0,12.7
195,Andrew Cogliano\coglian01,TOT,LW/C,0:41,78,,11:09,0.2,1.5,1.2,,0:03,-2.4,14.9,0.0,,1:22,5.1,0.0,5.1
196,Artem Anisimov\anisiar01,CHI,C,0:37,78,,13:48,-1.4,2.6,2.6,,1:24,-6.3,4.4,1.6,,1:08,2.3,0.7,9.3
197,Ben Chiarot\chiarbe01,WPG,D,0:55,78,,16:52,-2.3,2.1,2.0,,0:01,,0.0,0.0,,1:42,-1.0,1.8,7.2
198,Blake Coleman\colembl01,NJD,C,0:31,78,,13:35,1.7,2.6,3.8,,0:43,-1.0,7.4,1.8,,2:41,5.6,1.4,6.4
199,Bobby Ryan\ryanbo01,OTT,LW,0:45,78,,13:13,0.4,2.4,4.0,,2:21,3.6,7.8,1.0,,0:05,29.5,0.0,0.0
200,Brady Skjei\skjeibr01,NYR,D,0:43,78,,18:45,-0.3,2.7,2.9,,0:14,-15.6,3.2,3.2,,2:13,3.4,1.0,6.2
201,Brent Seabrook\seabrbr01,CHI,D,0:39,78,,15:21,-3.5,2.5,3.0,,1:37,-2.0,5.6,0.5,,2:06,2.2,1.4,10.5
202,Cody Eakin\eakinco01,VEG,C,0:59,78,,12:56,-6.5,3.0,2.2,,1:07,-3.0,4.2,0.0,,1:19,-1.1,2.3,7.5
203,Connor McDavid\mcdavco01,EDM,C,0:55,78,,18:47,3.8,4.0,3.8,,3:25,8.1,9.4,0.7,,0:37,13.7,3.7,12.3
204,Conor Sheary\shearco01,BUF,LW,0:48,78,,12:53,1.0,2.3,3.2,,1:42,-1.3,6.8,0.9,,0:01,-11.5,0.0,22.8
205,Dylan Strome\stromdy01,TOT,C,0:35,78,,13:07,2.3,0.8,2.4,,2:59,1.7,6.2,3.7,,0:01,,0.0,0.0
206,Jakub Voracek\voracja01,PHI,RW,0:41,78,,15:22,1.2,3.3,3.8,,3:15,6.7,6.9,1.7,,0:01,5.8,0.0,5.7
207,Jamie Benn\bennja01,DAL,LW,0:40,78,,15:13,2.3,3.2,2.3,,2:37,0.9,7.9,0.6,,0:21,3.2,0.0,8.4
208,Jared McCann\mccanja01,TOT,C,0:38,78,,12:31,-2.5,2.5,3.5,,0:48,-0.6,7.4,1.2,,1:10,0.0,1.3,5.3
209,Jay Bouwmeester\bouwmja01,STL,D,0:49,78,,18:28,-6.3,1.9,2.1,,0:03,-39.5,13.3,0.0,,2:11,-4.5,0.7,7.1
210,Jordan Eberle\eberljo01,NYI,RW,0:39,78,,13:41,2.9,2.4,2.6,,2:48,3.3,6.2,0.0,,0:01,23.8,0.0,32.4
211,Justin Braun\braunju01,SJS,D,0:58,78,,17:54,-6.9,1.9,2.7,,0:06,-7.6,7.4,0.0,,2:17,-10.6,1.3,9.1
212,Kasperi Kapanen\kapanka01,TOR,RW,0:48,78,,14:12,2.2,3.5,2.8,,0:47,-8.1,5.4,2.7,,1:36,1.8,1.4,6.2
213,Kyle Okposo\okposky01,BUF,RW,0:52,78,,11:52,-2.0,2.2,2.7,,1:53,-0.2,6.5,0.8,,0:01,-11.1,0.0,0.0
214,Luke Glendening\glendlu01,DET,C,0:40,78,,13:08,-8.9,2.4,2.6,,0:08,1.7,0.0,0.0,,2:31,-2.4,1.8,8.2
215,Mark Giordano\giordma01,CGY,D,0:45,78,,18:15,5.0,3.9,2.5,,3:19,-1.3,9.5,0.9,,2:38,-3.8,3.2,7.5
216,Nate Thompson\thompna01,TOT,C,0:42,78,,10:54,-5.9,2.1,1.7,,0:16,-12.0,0.0,2.9,,1:49,-3.0,0.0,5.3
217,Rasmus Ristolainen\ristora01,BUF,D,0:46,78,,19:27,-3.0,2.3,3.7,,3:00,0.3,7.5,1.8,,2:10,1.2,0.4,7.4
218,Riley Nash\nashri02,CBJ,C,0:28,78,,10:27,-1.3,1.7,2.2,,0:04,-11.1,0.0,0.0,,0:17,-16.8,0.0,18.6
219,Ryan Dzingel\dzingry01,TOT,C,0:52,78,,15:01,-3.4,3.1,2.1,,1:46,2.7,4.7,4.7,,0:00,-16.3,0.0,0.0
220,Sean Monahan\monahse01,CGY,C,0:51,78,,15:40,0.1,3.8,3.3,,3:18,3.5,9.8,0.9,,0:03,26.5,0.0,19.7
221,Shayne Gostisbehere\gostish01,PHI,D,0:45,78,,16:05,5.0,2.7,3.4,,3:28,8.7,6.0,1.1,,0:05,5.4,0.0,7.0
222,Timo Meier\meierti01,SJS,RW,0:50,78,,14:39,2.1,3.9,3.0,,1:48,-4.3,7.2,3.0,,0:30,12.8,1.3,3.9
223,Trevor van Riemsdyk\vanritr01,CAR,D,0:51,78,,13:58,-0.7,2.1,2.4,,0:03,0.5,0.0,0.0,,1:01,7.7,0.0,9.8
224,Troy Stecher\stechtr01,VAN,D,0:46,78,,17:35,3.6,2.4,2.1,,0:52,-3.3,2.6,0.9,,1:26,5.1,1.5,4.6
225,Tyson Barrie\barrity01,COL,D,0:55,78,,17:40,4.5,3.0,2.9,,4:02,-1.7,7.7,0.6,,0:03,62.1,0.0,11.9
226,Vince Dunn\dunnvi02,STL,D,0:41,78,,15:18,4.9,2.9,2.1,,2:06,4.4,7.3,0.4,,0:06,17.4,0.0,4.5
227,Vladislav Namestnikov\namesvl01,NYR,C,0:42,78,,12:45,1.5,2.2,2.8,,1:23,0.3,8.3,1.1,,1:38,1.2,2.3,7.0
228,Will Butcher\butchwi01,NJD,D,0:39,78,,16:22,4.9,2.7,3.3,,2:46,-0.1,6.8,1.4,,0:07,-5.9,0.0,3.3
229,Blake Comeau\comeabl01,DAL,RW,0:42,77,,13:35,-1.9,1.7,2.2,,0:03,-60.6,0.0,0.0,,2:04,-0.5,0.4,7.1
230,Boone Jenner\jennebo01,CBJ,C,0:36,77,,14:00,-2.6,2.9,2.7,,1:35,0.7,4.4,0.5,,1:27,-1.2,1.6,8.0
231,Casey Mittelstadt\mitteca01,BUF,C,0:49,77,,11:40,-1.0,2.1,3.2,,1:45,0.2,6.6,1.3,,0:00,-11.5,0.0,0.0
232,Danton Heinen\heineda01,BOS,C/LW,0:49,77,,12:28,-0.3,2.4,1.4,,1:22,2.7,8.0,1.7,,0:07,-6.8,0.0,12.0
233,Dylan DeMelo\demeldy01,OTT,D,0:44,77,,17:08,3.0,3.5,3.7,,0:28,-0.2,6.6,1.6,,1:39,-4.7,1.4,6.1
234,Jack Eichel\eicheja01,BUF,C,0:46,77,,16:22,2.9,3.6,3.8,,3:31,2.5,8.0,1.8,,0:32,12.1,0.0,7.3
235,Jack Roslovic\rosloja01,WPG,C,0:34,77,,9:07,0.9,2.3,2.4,,0:36,3.3,10.1,1.3,,0:00,-11.1,0.0,0.0
236,Mark Stone\stonema01,TOT,RW,0:50,77,,16:13,11.3,4.2,3.3,,2:32,8.5,8.4,1.1,,1:06,12.0,0.8,6.9
237,Markus Granlund\granlma01,VAN,C,0:45,77,,11:03,0.5,1.8,2.0,,1:34,0.4,5.0,2.0,,2:24,1.9,1.0,8.9
238,Mikael Backlund\backlmi01,CGY,C,0:54,77,,14:50,1.9,3.7,2.0,,1:39,0.9,2.8,0.5,,1:23,1.8,1.7,9.0
239,Oliver Bjorkstrand\bjorkol01,CBJ,RW,0:44,77,,11:05,2.9,3.0,2.3,,1:14,3.7,5.6,1.2,,0:00,,0.0,0.0
240,Radko Gudas\gudasra01,PHI,D,0:40,77,,15:13,0.7,2.7,2.5,,0:01,-35.3,44.4,0.0,,2:37,0.4,0.6,7.0
241,Roman Polak\polakro01,DAL,D,0:40,77,,16:29,-6.7,2.0,1.9,,0:02,-52.6,0.0,0.0,,2:38,-7.1,0.6,6.8
242,Tomas Hertl\hertlto01,SJS,C,0:35,77,,14:30,-0.6,4.2,3.8,,2:52,1.6,9.2,1.1,,1:38,4.1,0.9,6.9
243,Warren Foegele\foegewa01,CAR,LW,0:33,77,,11:05,-1.3,1.8,2.9,,0:06,2.9,0.0,0.0,,1:17,6.9,0.0,9.1
244,Alex Goligoski\goligal01,ARI,D,0:41,76,,17:24,-0.7,2.4,2.6,,1:50,-7.0,6.0,2.1,,1:33,-1.4,1.9,4.8
245,Andre Burakovsky\burakan01,WSH,LW,0:43,76,,10:50,-0.4,2.6,2.3,,0:14,5.5,3.3,0.0,,0:02,66.0,0.0,0.0
246,Andreas Athanasiou\athanan01,DET,C,0:44,76,,14:39,-2.1,2.7,3.2,,2:13,1.2,7.5,0.4,,0:05,12.3,0.0,9.3
247,Brian Dumoulin\dumoubr01,PIT,D,0:39,76,,18:30,4.1,3.6,2.4,,0:07,-4.3,2.6,0.0,,2:23,0.5,1.7,7.1
248,Chris Wagner\wagnech01,BOS,C,0:47,76,,11:57,-4.3,2.2,1.9,,0:02,-33.5,0.0,16.1,,1:26,2.5,0.0,6.0
249,Craig Smith\smithcr01,NSH,C,0:36,76,,12:36,1.3,2.7,1.9,,2:30,2.3,5.7,0.3,,0:00,33.4,0.0,0.0
250,Devin Shore\shorede01,TOT,C,0:51,76,,11:43,-0.4,2.2,3.8,,1:15,-10.8,7.9,2.6,,1:16,3.8,1.2,6.1
251,Dylan Larkin\larkidy01,DET,C,0:40,76,,18:04,10.2,3.1,3.2,,2:26,1.9,7.8,1.6,,1:18,4.2,1.8,7.2
252,Erik Gudbranson\gudbrer01,TOT,D,0:43,76,,16:08,5.5,2.4,1.5,,0:02,,0.0,0.0,,2:02,2.6,3.9,11.6
253,Evgeny Kuznetsov\kuzneev01,WSH,C,0:45,76,,14:54,-1.5,3.7,3.1,,3:39,8.8,8.8,0.9,,0:13,15.3,0.0,10.7
254,Garnet Hathaway\hathaga01,CGY,RW,0:36,76,,8:38,-4.7,2.5,1.6,,0:11,-2.6,0.0,0.0,,1:41,-2.2,1.9,4.7
255,Hampus Lindholm\lindhha01,ANA,D,0:48,76,,19:41,2.4,2.6,2.8,,1:13,-0.6,6.3,1.9,,3:04,0.0,1.0,7.0
256,Jason Spezza\spezzja01,DAL,C,0:37,76,,11:02,3.0,1.8,2.7,,2:12,2.3,9.3,0.3,,0:01,-11.1,0.0,41.4
257,Jeff Carter\carteje01,LAK,C,0:32,76,,14:26,-1.0,2.0,2.9,,2:27,2.9,7.1,1.6,,1:15,6.7,1.1,9.0
258,Josh Leivo\leivojo01,TOT,LW,0:45,76,,11:44,1.9,1.8,1.5,,2:16,-5.6,4.8,0.0,,0:00,,,
259,Pierre-Edouard Bellemare\bellepi01,VEG,LW,0:42,76,,10:23,-1.2,2.2,2.3,,0:04,12.2,0.0,0.0,,1:56,-10.6,1.2,7.3
260,Vladimir Tarasenko\tarasvl01,STL,RW,0:42,76,,15:25,4.6,3.2,2.7,,2:54,0.5,8.2,0.8,,0:03,-13.8,0.0,0.0
261,Alexander Wennberg\wennbal01,CBJ,C,0:49,75,,11:55,1.3,2.4,2.8,,1:52,0.4,4.7,0.4,,1:16,5.6,2.5,3.8
262,Colton Sissons\sissoco01,NSH,C,0:40,75,,12:54,-2.9,3.0,1.8,,1:10,0.4,6.2,1.4,,1:58,-4.0,0.8,7.3
263,Evander Kane\kaneev01,SJS,LW,0:49,75,,15:30,1.3,3.5,3.7,,1:55,2.1,8.3,1.2,,0:59,3.8,1.5,2.3
264,Filip Chytil\chytifi01,NYR,C,0:47,75,,12:19,0.5,1.6,3.0,,1:27,-7.0,7.1,0.5,,0:00,,0.0,0.0
265,J.T. Miller\millejt01,TBL,C,0:51,75,,12:03,2.9,3.1,2.4,,2:34,-3.0,11.9,0.9,,0:02,13.9,0.0,0.0
266,Joe Pavelski\paveljo01,SJS,C,0:50,75,,15:22,0.7,3.1,3.1,,2:57,1.2,9.7,1.3,,0:42,-0.7,1.0,9.7
267,Mike Matheson\mathemi01,FLA,D,0:56,75,,19:07,-3.4,2.6,3.6,,0:47,-7.8,10.2,3.0,,2:23,3.2,0.7,7.3
268,Mikhail Sergachev\sergami01,TBL,D,0:53,75,,16:10,3.0,3.1,2.5,,1:30,-5.2,5.9,1.1,,0:13,6.4,3.9,15.6
269,Richard Panik\panikri01,ARI,RW,0:30,75,,13:25,2.6,2.8,2.9,,1:59,-4.5,3.2,1.2,,1:11,3.3,1.9,7.6
270,Seth Jones\jonesse01,CBJ,D,1:04,75,,21:12,3.0,3.2,3.3,,2:20,-4.8,4.8,1.4,,2:16,-7.9,2.5,5.6
271,Troy Brouwer\brouwtr01,FLA,RW,0:37,75,,10:44,-2.9,2.2,2.8,,0:17,-4.4,2.8,0.0,,1:39,-4.3,0.5,5.8
272,Alex Tuch\tuchal01,VEG,RW,0:53,74,,14:13,0.7,3.4,2.6,,2:29,2.8,6.4,0.6,,0:00,,,
273,Anthony Duclair\duclaan01,TOT,LW,0:38,74,,11:03,-2.7,2.4,2.7,,1:37,-3.4,5.6,1.4,,0:01,4.6,0.0,0.0
274,Braydon Coburn\coburbr01,TBL,D,0:56,74,,15:02,2.2,2.8,2.6,,0:02,-84.7,0.0,0.0,,1:01,-5.1,0.0,9.5
275,Calvin de Haan\dehaaca01,CAR,D,0:56,74,,16:25,0.3,2.3,2.3,,0:05,-37.7,8.3,0.0,,1:59,-1.9,0.8,8.6
276,Cody Ceci\cecico01,OTT,D,0:41,74,,19:35,-1.9,2.7,3.6,,0:28,-14.6,5.2,0.0,,2:29,1.2,0.0,8.1
277,Deryk Engelland\engelde01,VEG,D,0:52,74,,16:35,-6.3,2.4,2.6,,0:04,-43.1,0.0,0.0,,3:12,-18.1,0.3,8.1
278,Evan Rodrigues\rodriev01,BUF,C,0:36,74,,12:47,2.0,2.5,3.0,,1:21,1.7,6.0,0.6,,1:40,9.2,1.5,6.8
279,Johnny Boychuk\boychjo01,NYI,D,0:40,74,,16:39,-2.7,2.6,2.3,,0:40,0.2,3.4,1.1,,1:30,0.2,1.6,9.7
280,Josh Manson\mansojo01,ANA,D,0:38,74,,19:00,-1.8,2.1,2.6,,0:07,7.4,0.0,0.0,,3:10,0.9,1.0,6.7
281,Kyle Palmieri\palmiky01,NJD,RW,0:41,74,,14:33,2.2,3.2,3.2,,3:17,4.2,6.5,2.4,,0:17,-5.1,0.0,1.9
282,Marcus Kruger\krugema01,CHI,C,0:19,74,,8:35,-2.8,2.1,2.4,,0:01,-38.1,0.0,0.0,,1:47,-6.6,0.5,9.0
283,Mikko Rantanen\rantami01,COL,RW,0:47,74,,16:44,5.2,3.6,2.8,,4:05,-2.8,8.8,0.8,,0:01,-13.5,0.0,0.0
284,Oskar Sundqvist\sundqos01,STL,C,0:41,74,,11:47,-2.7,2.3,2.5,,0:22,5.6,6.5,2.2,,1:39,4.7,1.0,6.2
285,Pat Maroon\maroopa01,STL,LW,0:44,74,,12:13,0.4,2.5,2.7,,1:57,3.9,8.8,0.0,,0:00,,0.0,0.0
286,Patrik Nemeth\nemetpa01,COL,D,0:44,74,,13:14,-3.4,2.5,2.3,,0:01,,0.0,0.0,,3:13,-0.1,1.0,5.8
287,Reilly Smith\smithre01,VEG,RW,1:00,74,,14:16,-0.3,3.2,2.7,,2:27,1.8,7.6,0.0,,1:32,17.4,2.1,4.7
288,Tyler Motte\mottety01,VAN,C,0:50,74,,11:01,-6.4,1.7,2.8,,0:02,13.2,0.0,0.0,,1:42,-1.2,1.4,5.1
289,Zach Parise\parisza01,MIN,LW,0:37,74,,14:35,0.6,3.2,3.3,,2:54,0.9,6.7,0.5,,1:10,1.2,1.4,8.4
290,Alex Chiasson\chiasal01,EDM,RW,0:51,73,,13:44,-3.3,2.3,2.3,,2:37,0.1,9.7,1.3,,0:36,0.0,4.0,8.0
291,Andreas Johnsson\johnsan01,TOR,LW,0:53,73,,12:04,2.8,3.7,2.6,,1:34,-1.6,5.0,1.5,,0:00,,,
292,Brett Pesce\pescebr01,CAR,D,0:45,73,,17:50,-3.6,3.2,1.8,,0:08,-14.9,5.6,0.0,,2:29,-3.8,1.6,6.6
293,Brian Boyle\boylebr01,TOT,C,0:44,73,,9:15,-0.5,3.2,4.7,,2:37,3.3,6.4,2.1,,1:32,-7.6,1.2,6.2
294,Cal Clutterbuck\cluttca01,NYI,RW,0:37,73,,10:53,-0.4,2.3,1.9,,1:15,-4.8,2.6,0.7,,1:49,-2.6,0.4,10.8
295,Casey Cizikas\cizikca01,NYI,C,0:35,73,,12:00,-1.9,2.8,1.5,,0:04,-11.6,0.0,0.0,,1:56,-1.0,1.3,9.8
296,Gabriel Landeskog\landega01,COL,LW,0:49,73,,16:45,3.8,3.8,2.8,,4:05,-0.5,8.7,0.6,,0:17,-6.0,0.0,5.5
297,Jakob Silfverberg\silfvja01,ANA,LW,0:35,73,,13:16,-1.7,2.1,2.8,,2:06,5.9,7.3,0.4,,1:42,-1.2,1.5,8.7
298,Jason Pominville\pominja01,BUF,RW,0:43,73,,11:35,2.3,3.0,3.3,,0:52,-1.5,3.8,1.0,,0:00,-10.9,0.0,0.0
299,Joe Thornton\thornjo01,SJS,C,0:52,73,,13:38,3.6,3.3,2.5,,1:53,-1.4,9.5,1.7,,0:00,,0.0,0.0
300,Johan Larsson\larssjo02,BUF,LW/C,0:31,73,,11:51,-0.9,1.9,2.5,,0:04,-4.8,0.0,0.0,,2:20,-3.8,0.3,7.0
301,Kevin Shattenkirk\shattke01,NYR,D,0:46,73,,16:04,5.6,2.2,2.9,,2:25,3.6,4.1,0.7,,0:26,1.5,1.9,5.7
302,Matt Duchene\duchema01,TOT,C,0:58,73,,16:05,-3.4,3.0,3.0,,2:34,2.4,4.5,1.1,,0:10,79.2,0.0,0.0
303,Nazem Kadri\kadrina01,TOR,C,0:51,73,,13:35,2.7,2.7,2.7,,2:35,6.2,8.7,0.9,,0:00,,0.0,0.0
304,Neal Pionk\pionkne01,NYR,D,0:38,73,,16:47,-3.5,2.3,3.1,,1:29,-6.9,10.4,0.5,,2:52,-5.6,0.9,9.1
305,Nick Foligno\foligni01,CBJ,LW,0:52,73,,14:22,-3.2,3.3,2.5,,2:27,-0.3,5.7,0.7,,0:52,-0.7,0.0,4.7
306,Scott Harrington\harrisc01,CBJ,D,0:45,73,,12:07,-3.1,2.6,2.4,,0:00,14.0,0.0,0.0,,0:55,1.4,2.7,3.6
307,Tyler Bertuzzi\bertuty01,DET,LW,0:37,73,,14:46,2.8,3.4,2.7,,1:43,4.0,6.7,0.5,,0:00,20.0,0.0,0.0
308,Alex Galchenyuk\galchal01,ARI,C,0:40,72,,12:33,0.9,1.9,2.9,,3:10,11.8,7.1,1.1,,0:00,-17.4,0.0,0.0
309,Brandon Carlo\carlobr01,BOS,D,0:36,72,,18:05,-0.3,2.4,1.5,,0:03,17.2,13.1,0.0,,2:46,-3.2,0.9,7.8
310,Brayden Schenn\schenbr01,STL,C,0:43,72,,15:35,2.5,3.3,2.8,,2:23,-1.9,7.3,1.7,,0:36,-1.4,0.0,6.4
311,Bryan Rust\rustbr01,PIT,RW,0:35,72,,13:47,-0.2,3.1,2.8,,0:07,-8.0,0.0,0.0,,1:59,3.4,2.1,5.9
312,Derek Stepan\stepade01,ARI,C,0:31,72,,14:35,1.6,2.4,2.6,,2:42,-3.8,4.9,0.6,,1:55,6.2,1.7,5.4
313,Dustin Brown\browndu01,LAK,RW,0:57,72,,16:08,-1.9,2.8,3.3,,2:34,3.0,8.2,2.6,,1:42,-3.4,0.4,7.0
314,Eric Fehr\fehrer01,MIN,RW,0:42,72,,9:07,-3.3,1.8,2.6,,0:01,-37.0,0.0,0.0,,1:53,3.2,0.4,5.8
315,Frans Nielsen\nielsfr01,DET,C,0:39,72,,13:04,-3.2,2.8,3.1,,2:13,-0.6,4.9,1.1,,1:22,0.5,0.6,7.9
316,Kris Russell\russekr01,EDM,D,0:33,72,,18:15,-5.0,2.6,2.5,,0:13,9.6,0.0,0.0,,1:56,-5.3,1.3,11.5
317,Kyle Clifford\cliffky01,LAK,LW,0:45,72,,10:15,5.0,2.3,2.0,,0:12,5.9,3.9,0.0,,0:00,-13.3,0.0,9.8
318,Marc-Edouard Vlasic\vlasima01,SJS,D,0:56,72,,17:40,-7.7,3.0,3.3,,0:45,-0.7,7.6,1.1,,2:36,-10.1,0.3,7.7
319,Noel Acciari\acciano01,BOS,C,0:50,72,,11:22,-4.1,1.7,1.8,,0:02,-32.8,0.0,19.5,,1:33,-6.2,0.0,5.9
320,Nolan Patrick\patrino01,PHI,C,0:40,72,,13:23,-2.2,2.5,2.6,,1:39,-5.1,3.6,3.1,,0:02,-14.4,0.0,0.0
321,Tyler Bozak\bozakty01,STL,C,0:38,72,,12:41,-1.0,2.6,2.7,,2:23,3.6,6.6,0.3,,1:16,-5.4,0.0,9.5
322,Valtteri Filppula\filppva01,NYI,C,0:33,72,,11:47,-4.1,3.0,1.8,,0:37,1.5,3.8,0.0,,1:50,-0.1,0.9,4.1
323,Vinnie Hinostroza\hinosvi01,ARI,C,0:37,72,,13:47,3.6,2.4,2.5,,1:18,-1.4,4.4,1.9,,0:09,-17.7,0.0,10.0
324,Zemgus Girgensons\girgeze01,BUF,C,0:46,72,,11:07,-1.5,1.9,2.8,,0:04,-4.8,0.0,0.0,,2:23,-7.1,0.0,6.2
325,Alex Pietrangelo\pietral01,STL,D,0:52,71,,19:15,2.8,3.0,2.9,,2:45,-7.3,8.6,1.8,,2:03,3.5,1.6,8.3
326,Ben Lovejoy\lovejbe01,TOT,D,0:50,71,,13:39,-10.0,2.2,2.7,,0:02,11.9,0.0,0.0,,3:23,12.2,0.0,3.7
327,Brady Tkachuk\tkachbr01,OTT,LW,0:42,71,,13:44,6.0,3.1,3.5,,2:14,7.1,6.4,1.1,,0:02,1.8,0.0,0.0
328,Christian Fischer\fischch01,ARI,RW,0:28,71,,11:30,2.3,1.7,2.3,,1:38,-7.2,4.2,2.1,,0:00,32.5,0.0,0.0
329,Colin White\whiteco02,OTT,C,0:35,71,,13:51,3.4,2.6,3.8,,2:07,11.7,7.6,1.6,,0:12,-3.8,0.0,11.8
330,Dominik Simon\simondo01,PIT,C,0:41,71,,12:30,8.1,2.7,2.0,,0:49,-3.1,6.4,0.9,,0:00,-18.4,0.0,0.0
331,Elias Pettersson\petteel01,VAN,C,0:23,71,,14:34,4.3,3.1,3.0,,3:34,0.4,7.3,0.2,,0:03,45.8,12.7,12.7
332,Ian Cole\coleia01,COL,D,0:46,71,,16:22,0.9,2.7,3.1,,0:05,11.5,0.0,0.0,,3:17,0.0,1.0,8.3
333,Jordan Oesterle\oestejo01,ARI,D,0:39,71,,16:04,-2.3,2.5,2.7,,1:46,-3.0,4.8,0.5,,1:02,-2.4,1.6,3.9
334,Justin Abdelkader\abdelju01,DET,LW,0:41,71,,12:54,-2.8,1.8,2.8,,0:37,-1.4,6.8,0.0,,1:52,-2.4,0.5,6.4
335,Kevin Hayes\hayeske01,TOT,RW,0:41,71,,14:21,7.4,2.8,2.9,,2:07,4.6,7.1,0.5,,1:46,7.8,1.8,5.9
336,Matt Cullen\cullema01,PIT,C,0:32,71,,9:13,-8.2,2.6,2.4,,0:02,16.3,0.0,0.0,,2:14,0.9,1.5,8.0
337,Michal Kempny\kempnmi01,WSH,D,0:45,71,,17:31,2.1,3.7,2.7,,0:00,14.6,0.0,0.0,,1:38,0.7,0.5,6.6
